eid,keyword,max_sim_original_seen,max_sim_sentence
2-s2.0-84944383470,educational materials,0.6021549701690674,0.5762699842453003
2-s2.0-85174046606,stem education,0.6071349382400513,0.4706307053565979
2-s2.0-85080927712,stem education,0.6441723108291626,0.5964722037315369
2-s2.0-85200878384,stem education,0.426244854927063,0.5261671543121338
2-s2.0-84897617498,semiconductor,,0.5063680410385132
2-s2.0-85089187400,mathematics education,0.47295451164245605,0.6630023717880249
2-s2.0-85137384453,emotional state,0.28270503878593445,0.3489580750465393
2-s2.0-85152565277,gender bias,0.27460792660713196,0.32868486642837524
2-s2.0-85107809373,teaching methods,0.6614944934844971,0.6096189618110657
2-s2.0-85089385960,south african education,0.5279587507247925,0.5127931237220764
2-s2.0-85202023007,stem education,0.6441723108291626,0.4960804283618927
2-s2.0-105008350113,parental education,0.5832388401031494,0.5298668146133423
2-s2.0-85065313660,undergraduate students,0.6240721940994263,0.4082047939300537
2-s2.0-85066923220,undergraduate students,0.430378258228302,0.4435555040836334
2-s2.0-85030571324,assessment design,0.5897533893585205,0.5831702351570129
2-s2.0-85111080718,engineering education,0.6973424553871155,0.482037752866745
2-s2.0-84947294597,university entrance,,0.3496086597442627
2-s2.0-85092031034,teacher training,0.6942229270935059,0.5483455061912537
2-s2.0-85205227586,mathematics education,0.4038267731666565,0.6536975502967834
2-s2.0-105006449563,gender differences,0.24978673458099365,0.5834810733795166
2-s2.0-36148962841,learning disabilities,0.41918322443962097,0.3458232879638672
2-s2.0-85100602797,school district,0.4448060989379883,0.5656608939170837
2-s2.0-85088387331,mathematics education,0.46669191122055054,0.44899776577949524
2-s2.0-85063591390,symmetric algorithms,0.6079670190811157,0.4839056432247162
2-s2.0-105002016684,cognitive development,0.4445035755634308,0.4179230332374573
2-s2.0-84996607021,multidimensional models,0.6853044629096985,0.5003380179405212
2-s2.0-85178505865,stem education,0.6796635389328003,0.6200475692749023
2-s2.0-85065297809,space education,0.6730660200119019,0.6032402515411377
2-s2.0-84886881044,reading achievement,0.4668982923030853,0.5699109435081482
2-s2.0-85134798789,diversity,0.5063076019287109,0.4552300274372101
2-s2.0-85148582884,grade viii students,0.6093976497650146,0.3634592890739441
2-s2.0-85055281454,mathematics education,0.519646167755127,0.5994099378585815
2-s2.0-85090476622,realistic models,0.588831901550293,0.4688922166824341
2-s2.0-84983294345,mathematics education,0.40272700786590576,0.41088488698005676
2-s2.0-85030572248,science education,0.6954521536827087,0.45895636081695557
2-s2.0-85008936621,narrative analysis,0.2749904990196228,0.6376581192016602
2-s2.0-85067473983,stem education,0.6892979145050049,0.3904478847980499
2-s2.0-3042561477,design thinking,0.5693686008453369,0.6505963802337646
2-s2.0-85161138719,mathematics education,0.5990411043167114,0.6625720858573914
2-s2.0-84864695485,mathematics education,0.5109714865684509,0.48397958278656006
2-s2.0-85128342552,stem education,0.5683587789535522,0.4625675678253174
2-s2.0-84898777157,teacher motivation,0.6496180295944214,0.6457639932632446
2-s2.0-85078798243,academia industry collaboration,,0.5932695269584656
2-s2.0-84891905437,stem education,0.6441723108291626,0.44104889035224915
2-s2.0-85042423926,teaching method,0.394781231880188,0.5942397117614746
2-s2.0-85180622117,undergraduate students,0.4142928719520569,0.3415233790874481
2-s2.0-85180685240,teaching methods,0.3554435968399048,0.483784019947052
2-s2.0-84884303895,engineering education,,0.6631345748901367
2-s2.0-85132178052,competence development,0.649194061756134,0.5601708889007568
2-s2.0-105002356083,mathematics education,0.4962904751300812,0.34323790669441223
2-s2.0-85188452067,mathematics education,0.6460326910018921,0.674801766872406
